,Word,Senses,Glosa,PoS,SynsetPoS
0,object,1,"it was full of rackets, balls and other objects",n,eng-30-00002684-n
1,whole,2,how big is that part compared to the whole?,n,eng-30-00003553-n
2,unit,6,the team is a unit,n,eng-30-00003553-n
3,congener,3,"lard was also used, though its congener, butter, was more frequently employed",n,eng-30-00003993-n
4,life,10,the oceans are teeming with life,n,eng-30-00006269-n
5,person,1,there was too much for one person to do,n,eng-30-00007846-n
6,substance,1,DNA is the substance of our genes,n,eng-30-00019613-n
7,substance,7,shigella is one of the most toxic substances known to man,n,eng-30-00020090-n
8,matter,3,physicists study both the nature of matter and the forces which govern it,n,eng-30-00020827-n
9,article,2,an article of clothing,n,eng-30-00022903-n
10,motivation,1,we did not understand his motivation,n,eng-30-00023773-n
11,motive,1,he acted with the best of motives,n,eng-30-00023773-n
12,state,2,the current state of knowledge,n,eng-30-00024720-n
13,feeling,1,she had a feeling of euphoria,n,eng-30-00026192-n
14,shape,2,geometry is the mathematical science of shape,n,eng-30-00027807-n
15,space,1,they tested his ability to locate objects in space,n,eng-30-00028651-n
16,infinite,1,the boundless regions of the infinite,n,eng-30-00028651-n
17,phase_space,1,a multidimensional phase space,n,eng-30-00029114-n
18,process,6,events now in process,n,eng-30-00029677-n
19,physical_process,1,the process of calcification begins later for boys than for girls,n,eng-30-00029677-n
20,thing,2,how could you do such a thing?,n,eng-30-00034479-n
21,abort,1,I wasted a year of my life working on an abort,n,eng-30-00034939-n
22,alienation,4,his behavior alienated the other students,n,eng-30-00035891-n
23,application,7,the application of maximum thrust,n,eng-30-00036061-n
24,beachhead,2,the town became a beachhead in the campaign to ban smoking outdoors,n,eng-30-00036299-n
25,foothold,3,they are presently attempting to gain a foothold in the Russian market,n,eng-30-00036299-n
26,cakewalk,2,winning the tournament was a cakewalk for him,n,eng-30-00036580-n
27,feat,1,he performed a great feat,n,eng-30-00036762-n
28,effort,3,the book was her finest effort,n,eng-30-00036762-n
29,credit,4,she already had several performances to her credit;,n,eng-30-00037200-n
30,action,1,there were stories of murders and other unnatural actions,n,eng-30-00037396-n
31,course,4,if you persist in that course you will surely fail,n,eng-30-00038262-n
32,course_of_action,1,once a nation is embarked on a course of action it becomes extremely difficult for any retraction to take place,n,eng-30-00038262-n
33,blind_alley,2,all the clues led the police into blind alleys,n,eng-30-00038573-n
34,contact,1,they kept in daily contact,n,eng-30-00039297-n
35,brush,9,I had a brush with danger on my way to work,n,eng-30-00039545-n
36,eye_contact,2,a teacher should make eye contact with the students,n,eng-30-00039740-n
37,placement,2,the agency provided placement services,n,eng-30-00039990-n
38,cross-fertilization,2,the cross-fertilization of science and the creative arts,n,eng-30-00040545-n
39,relation,6,international relations,n,eng-30-00040962-n
40,acquiring,1,I envied his talent for acquiring,n,eng-30-00041899-n
41,getting,1,he's much more interested in the getting than in the giving,n,eng-30-00041899-n
42,hit,1,he came all the way around on Williams' hit,n,eng-30-00043902-n
43,rally,2,he singled to start a rally in the 9th inning,n,eng-30-00045646-n
44,rallying,2,he feared the rallying of their troops for a counterattack,n,eng-30-00045646-n
