object	1	it was full of rackets, balls and other objects	n	eng-30-00002684-n
whole	2	how big is that part compared to the whole?	n	eng-30-00003553-n
unit	6	the team is a unit	n	eng-30-00003553-n
congener	3	lard was also used, though its congener, butter, was more frequently employed	n	eng-30-00003993-n
life	10	the oceans are teeming with life	n	eng-30-00006269-n
person	1	there was too much for one person to do	n	eng-30-00007846-n
substance	1	DNA is the substance of our genes	n	eng-30-00019613-n
substance	7	shigella is one of the most toxic substances known to man	n	eng-30-00020090-n
matter	3	physicists study both the nature of matter and the forces which govern it	n	eng-30-00020827-n
article	2	an article of clothing	n	eng-30-00022903-n
motivation	1	we did not understand his motivation	n	eng-30-00023773-n
motive	1	he acted with the best of motives	n	eng-30-00023773-n
state	2	the current state of knowledge	n	eng-30-00024720-n
feeling	1	she had a feeling of euphoria	n	eng-30-00026192-n
shape	2	geometry is the mathematical science of shape	n	eng-30-00027807-n
space	1	they tested his ability to locate objects in space	n	eng-30-00028651-n
infinite	1	the boundless regions of the infinite	n	eng-30-00028651-n
phase_space	1	a multidimensional phase space	n	eng-30-00029114-n
process	6	events now in process	n	eng-30-00029677-n
physical_process	1	the process of calcification begins later for boys than for girls	n	eng-30-00029677-n
thing	2	how could you do such a thing?	n	eng-30-00034479-n
abort	1	I wasted a year of my life working on an abort	n	eng-30-00034939-n
alienation	4	his behavior alienated the other students	n	eng-30-00035891-n
application	7	the application of maximum thrust	n	eng-30-00036061-n
beachhead	2	the town became a beachhead in the campaign to ban smoking outdoors	n	eng-30-00036299-n
foothold	3	they are presently attempting to gain a foothold in the Russian market	n	eng-30-00036299-n
cakewalk	2	winning the tournament was a cakewalk for him	n	eng-30-00036580-n
feat	1	he performed a great feat	n	eng-30-00036762-n
effort	3	the book was her finest effort	n	eng-30-00036762-n
credit	4	she already had several performances to her credit;	n	eng-30-00037200-n
action	1	there were stories of murders and other unnatural actions	n	eng-30-00037396-n
course	4	if you persist in that course you will surely fail	n	eng-30-00038262-n
course_of_action	1	once a nation is embarked on a course of action it becomes extremely difficult for any retraction to take place	n	eng-30-00038262-n
blind_alley	2	all the clues led the police into blind alleys	n	eng-30-00038573-n
contact	1	they kept in daily contact	n	eng-30-00039297-n
brush	9	I had a brush with danger on my way to work	n	eng-30-00039545-n
eye_contact	2	a teacher should make eye contact with the students	n	eng-30-00039740-n
placement	2	the agency provided placement services	n	eng-30-00039990-n
cross-fertilization	2	the cross-fertilization of science and the creative arts	n	eng-30-00040545-n
relation	6	international relations	n	eng-30-00040962-n
acquiring	1	I envied his talent for acquiring	n	eng-30-00041899-n
getting	1	he's much more interested in the getting than in the giving	n	eng-30-00041899-n
hit	1	he came all the way around on Williams' hit	n	eng-30-00043902-n
rally	2	he singled to start a rally in the 9th inning	n	eng-30-00045646-n
rallying	2	he feared the rallying of their troops for a counterattack	n	eng-30-00045646-n
touch	5	at his touch the room filled with lights	n	eng-30-00046522-n
performance	4	they admired his performance under stress	n	eng-30-00047106-n
record	4	the lawyer has a good record	n	eng-30-00047745-n
track_record	2	the track record shows that he will be a good president	n	eng-30-00047745-n
going	3	persuading him was easy going	n	eng-30-00048051-n
sledding	2	the proposal faces tough sledding	n	eng-30-00048051-n
arrival	2	they awaited her arrival	n	eng-30-00048374-n
attainment	2	his attainment of puberty was delayed by malnutrition	n	eng-30-00048656-n
advent	1	the advent of the computer	n	eng-30-00048828-n
entrance	3	she made a grand entrance	n	eng-30-00049003-n
