,Word,Senses,Glosa,PoS,SynsetPoS
0,corpo,1,sentiu coma se o seu corpo enteiro estivese en chamas,n,glg-30-05216365-n
1,persoa,1,a arma estaba agochada na súa persoa,n,glg-30-05217688-n
2,corpo,1,eles atoparon o corpo no lago,n,glg-30-05217859-n
3,material,1,o carbón é un material negro e duro,n,glg-30-14580897-n
4,substancia,1,a resposta inmune recoñece a invasión de substancias,n,glg-30-14580597-n
5,cadáver,1,a honra bendiciu a terra que envolve o seu cadáver,n,glg-30-05218119-n
6,cadáver,1,as investigacións da policía deron como resultado o descubrimento dun cadáver,n,glg-30-05218119-n
7,aparello,1,o aparello respiratorio,n,glg-30-05218899-n
8,sistema,2,o exercicio axudou a eliminar o alcohol do seu sistema,n,glg-30-05219097-n
9,anexo,1,as trompas de Falopio e os ovarios están situados de forma anexa ao útero,n,glg-30-05221649-n
10,hilum,1,o hilum do ril,n,glg-30-05224755-n
11,estrutura,1,el ten boa estrutura ósea,n,glg-30-05225602-n
12,intersticio,1,intersticios dunha rede,n,glg-30-05230171-n
13,sistema,1,o corpo ten un sistema de órganos para a dixestión,n,glg-30-05237227-n
14,pel,1,a súa pel é o maior órgano do seu corpo,n,glg-30-05238282-n
15,punto_de_presión,1,ten que saber os puntos de presión para administrar shiatsu,n,glg-30-05239039-n
16,nu,1,nadar nu,n,glg-30-05239589-n
17,orificio,2,o orificio na aorta da cámara inferior esquerda do corazón,n,glg-30-05249636-n
18,conduto,2,o conduto alimentario,n,glg-30-05250659-n
19,lumen,1,o lumen do intestino,n,glg-30-05254077-n
20,manto,1,un manto de rizos axustados,n,glg-30-05255435-n
21,manto,1,un manto de piollos,n,glg-30-05255435-n
22,bigote,1,El parecía máis novo despois de afeitar o bigote,n,glg-30-05262185-n
23,fundus,1,O fundus do útero,n,glg-30-05264545-n
24,mostra,1,Eles recollía unha mostra de urina para o exame de urina,n,glg-30-05266879-n
25,tecido_adiposo,1,O tecido adiposo protexeunos do frío severo,n,glg-30-05268965-n
26,músculo_antagonista,1,o bíceps e o tríceps son músculos antagonistas,n,glg-30-05293040-n
27,agonista,1,"ao dobrar o cóbado, os bíceps son os agonistas",n,glg-30-05293268-n
28,antagonista,1,"cando se dobra o cóbado, os tríceps son os antagonistas",n,glg-30-05293420-n
29,boca,1,Limpou o carmín da súa boca,n,glg-30-05301908-n
30,boca,1,encheu a súa boca cos caramelos,n,glg-30-05302499-n
31,á,1,a á do nariz,n,glg-30-05309965-n
32,á,1,a á dunha semente de arce,n,glg-30-05309965-n
33,á,1,os pétalos planos dunha flor de chícharo son ás,n,glg-30-05309965-n
34,a_simple_vista,1,non é seguro ollar directamente ao sol a simple vista,n,glg-30-05311795-n
35,membrana_celular,1,Todas as células teñen unha membrana celular,n,glg-30-05312782-n
36,corpo_ciliar,1,O corpo ciliar produce humor acuoso,n,glg-30-05313344-n
37,pálpebra,1,as súas pálpebras xa nunca máis permanecerían abertas,n,glg-30-05313822-n
38,glándula_de_Meibomio,1,a infección bacteriana da glándula de Meibomio produce tirizós,n,glg-30-05328508-n
39,corazón,1,"el quedou parado, o corazón estaba batendo incontroladamente",n,glg-30-05388805-n
40,músculo_papilar,1,os músculos papilares contráense durante a sístole para previr a rexurxitación do sangue dentro nos atrios,n,glg-30-05390233-n
41,cámara,1,as cámaras do seu corazón eran saudables,n,glg-30-05392744-n
42,fluído_extracelular,1,"o corpo, normalmente, ten 1 quilo de fluído extracelular",n,glg-30-05398023-n
43,zume,1,zumes dixestivo,n,glg-30-05398609-n
44,sangue,1,o sangue transporta osíxeno e nutrientes aos tecidos e leva consigo os residuos corporais,n,glg-30-05399847-n
45,sangue_arterial,1,"agás na arteria pulmonar, o sangue arterial é rico en osíxeno",n,glg-30-05400445-n
46,sangue_venoso,1,agás na vea pulmonar o sangue venoso é rico en dióxido de carbono e pobre en osíxeno,n,glg-30-05402788-n
47,sangue_enteiro,1,o sangue enteiro é usado normalmente en transfusións,n,glg-30-05402961-n
48,bágoa,1,a súa historia trouxolle bágoas aos ollos,n,glg-30-05405324-n
49,tiroxina,1,a tiroxina está composta por un 65% de iodo,n,glg-30-05413647-n
50,vea,1,"todas as veas, excepto a vea pulmonar leva sangue sen osíxeno",n,glg-30-05418717-n
51,ventre,1,"'no ventre' é a terminoloxía xurídica de 'concibido, pero aínda non naceu'",n,glg-30-05424796-n
52,célula_ganglionar,1,os danos nas células ganglionares da retina poden desempeñar un papel no desenvolvemento do glaucoma,n,glg-30-05427346-n
